Nederlands;Gronings
Deze avond bewees zij naast Jongedijk haar mannetje te staan.;Dizze oavend bewees zai noast Jongedijk heur mannetje te stoan.
Wat vooral opviel, was haar onbevangenheid.;Wat veuraal opvuil, was heur onbevangenhaid.
Op haar cd die ze uitbrengen mocht doordat ze vorig jaar het;Op heur cd dij ze oetbrengen mog deurdat ze veureg joar t
Groningse liedjesfestival won, staat al: 'Wat was het spannend, maar wat heb ik genoten!';Grunneger laidjesfestival won, staait aal: 'Wat was het spannend, maar wat heb ik genoten!'
Dat gold ook voor deze avond.;Dat gold ook veur dizze oavend.
Zij vond het best spannend om weer voor een wat groter publiek te spelen, maar het was haar tegelijkertijd aan te zien dat ze er heel veel plezier in had.;Zai vond t best spannend om weer veur n wat groter pebliek te speulen, moar t was heur tegeliekertied aan te zain dat ze der hail veul plezaaier in haar.
En samen met Edwin liet zij het publiek genieten.;En soam mit Edwin luit zai t pebliek genieten.
Het leek of troebiebruier Edwin Jongedijk aardig aangespord werd door Josien.;t Leek of troebiebruier Edwin Jongedijk oardeg aanpeerdjed wuir deur Josien.
Hij staat niet echt als spraakwaterval bekend en laat zijn publiek het liefst genieten van zijn liedjes.;Hai staait nait echt as sproakwotterval bekìnd en let zien pebliek t laifst genieten van zien laidjes.
Vandaag zat hij zichtbaar op de praatstoel en haar schiere anekdotes die hij vertelde als introductie op zijn liedjes.;Vandoage zat hai zichtboar op de proatstoul en haar schiere anekdotes dij hai vertelde as introduksie op zien verskes.
Daarbij werd hij soms spontaan aangevuld door zijn partner.;Doarbie wuir hai sums spontoan aanvuld deur zien pazzipant.
Ook Josien praatte de liedjes spontaan aan elkaar.;Ook Josien pruit de verskes spontoan aan mekoar.
Dat maakte samen tot een goed stel.;Dat muik baaide tot n goud stel.
Bovendien gaf de zaalinrichting de gelegenheid om ook tussendoor te reageren op de positieve reacties die van de toehoorders kwamen.;Boetendes gaf de zoalinrichten de gelegenhaid om ook tussendeur te reageren op de positieve reaksies dij van de touheurders kwamen.
Edwin is al heel wat jaren bezig en als;Edwin is aal hail wat joaren bezeg en as
Drenthe heeft hij zijn sporen in de;Drentie het hai zien sporen in de
Groningse streektaal ruimschoots verdiend.;Grunneger streektoal roemschoots verdaind.
Alhoewel hij de petten er altijd bij ophoudt, kunnen wij onze petten voor hem afnemen, want hij heeft de laatste tijd niet stil gezeten.;Aalhouwel hai de pette der aaltied bie opholdt, kinnen wie onze pette veur hom òfnemen, want hai het de leste tied nait stil zeten.
Hij speelde in het Noabershoes een paar liedjes die nog maar net het levenslicht hebben gezien.;Hai speulde in t Noabershoes n poar verskes dij nog moar net t levenslicht zain haren.
De teksten zaten er al goed in.;De teksten zaten der aal goud in.
Ook Josien maakt een geweldige ontwikkeling door.;Ook Josien moakt n geweldege ontwikkeln deur.
Waar zij een paar jaar geleden begon met het zingen van covers, laat zij nu zien dat ook het schrijven in het;Woar zai n poar joar leden begon mit t zingen van covers, let zai nou zain dat ook t schrieven in t
Groningers en het componeren van eigen muziek gaat hen inmiddels aardig lukken.;Grunnegers en t komponeren van aigen muziek heur intuzzen oardeg schier òfgaait.
Daarnaast bewijst zij ook dat het Gronings voor alle leeftijden is en niet alleen voor oudere mensen.;Doarnoast bewiest zai ook dat t Grunnegers veur ale leeftieden en nait allain veur oldere lu is.
Een klein puntje was misschien dat zij maar een paar liedjes samen zongen, maar wie weet, komt het er nog eens toe om wat meer liedjes samen te doen.;n Klaain puntje was meschain dat zai moar n poar laidjes soam zongen, moar wel wait, komt t der nog ains van om wat meer laidjes soam te doun.
Josiens zuivere stem past bij elk gevoel heel goed bij het donkerbruine stemgeluid van;Josien heur zuvere stem paast in elk gevoal hail goud bie t donkerbroene stemgeluud van
Edwin, wat bleek uit de samenzang van een;Edwin, wat bleek oet de soamenzang van n
Springsteennummer en het indrukwekkende Afscheid, dat;Springsteennummer en t indrokwekkende Òfschaaid, dat
Edwin op zijn cd;Edwin op zien cd
Holt &;Holt &
Stoel met die andere (Marlene);Stoal mit dij andere (Marlene)
Bakker zingt.;Bakker zingt.
Er zijn nog meer pluspunten.;Der binnen nog meer pluspunten.
Waar de één over;Woar d'ain over
Westerlee zingt en de ander over;Westerlee zingt en d’aander over
Westerwolde blijkt de liefde voor ons prachtige landschap.;Westerwolde bliekt de laifde veur ons prachtege landschop.
En als het gevoelig wordt, zorgen zij voor kippenvel.;En as t gevuileg wordt, zörgen zai veur noppen op de hoed.
Vooral Josiens Doarboven is daarvan een prachtig voorbeeld.;Veuraal Josiens Doarboven is doarvan n prachteg veurbeeld.
En wat was het echt een geweldige uitspraak.;En wat het t wichie ain geweldege oetsproak.
In zuiver Westerwolds is elk woord duidelijk verstaanbaar.;In zuver Westerwolds is elk woord dudelk verstoanboar.
Laten we hopen dat de zalen en theaters vanaf nu weer open blijven.;Loat we hopen dat de zoalen en theoaters vanòf nou weer open blieven.
Als je de kans krijgt om een van beiden te zien optreden, ga dan gerust heen.;As je de kaans kriegen om ain van baaide te zain optreden, goa den gerust hìn.
Het is zeker de moeite waard en zo als;t Is slim de muite weerd en zo as
Josien zelf al zingt, blijft zij;Josien zulf aal zingt, blift zai
Josien en ook;Josien en ook
Edwin gaat beslist niet naast zijn schoone lopen.;Edwin gaait beslist nait noast zien schounen lopen.
Leonarda 12 23;Leonarda 12 23
Leonarda 12 is de koe die afgelopen zomer 90 kilometer door de rivier de;Leonarda 12 is de kou dij òflopen zummer 90 kilometer deur de rivier de
Maas zwom.;Maas zwom.
Ze kwam daarmee in het landelijk nieuws en is in één keer bekend geworden bij iedereen.;Ze kwam doarmit in t landelk nijs en is in ain keer bekend bie elkenain.
Samen met haar soortgenoten liep ze dagelijks in de weide van boer;Soam mit heur soortgenoten laip ze doagelks in de waaide van boer
Smeets, vlakbij de rivier de;Smeets, stoef noast de rivier de
Maas, vlakbij het dorp;Maas, vlakbie t dörp
Echt.;Echt.
Het gras was daar lekker, benoemd dat gras dat op het zweet van het water groeide.;t Gras was doar lekker, benoam dat gras wat op swet van t wotter gruide.
Zo nu en dan liep ze daar naartoe, rekte zich uit en kreeg met haar lange tong zo'n bosje gras te pakken.;Zo nou en din laip ze doar noar tou, rekte zuk din oet en kreeg mit heur laange tong zo'n boske gras te pakken.
Daarna ging ze liggen en herkauwde ze het gras wel vijf keer.;Doarnoa ging ze liggen en herkaauwde ze t gras wel vief keer.
Leonarda was nieuwsgierig van aard en wilde graag overal bij zijn.;Leonarda was nijsgiereg van oard en wol geern overal bie wezen.
En toen het afgelopen zomer alvast regende en het water bij waal omhoog kroop, wilde ze altijd weten hoe hoog het water kwam.;En dou t òflopen zummer aalvot regende en t wotter bie waal omhoog kroop, wol ze altied waiten hou hoog t wotter kwam.
Omdat het 's nachts doorregende, ging Leonarda de volgende dag opnieuw kijken bij de Maas.;Omreden haar t snaachts deurregend, ging Leonarda aanderdoags opnij kieken bie de Maas.
Ze zag de golven over het grasland rollen en waagde zich te dicht bij de kant van waal.;Ze zag de golven over t graslaand rollen en woagde zich te dicht bie kaant van waal.
Ze verloor haar evenwicht en kletterde de Maas in.;Ze verloor heur evenwicht en kukelde de Maas in.
Kopje onder ging ze, maar kwam ook weer boven.;Kopke onder ging ze, mor kwam ook weer boven.
Verbaasd keek ze om zich heen.;Verbalderd keek ze om zoch tou.
Er was overal water, niets anders dan water, snel stromend water.;Der was overaal wotter, niks aans as wotter, snel stromend wotter.
'Verdorie,' zei ze tegen zichzelf, 'ik ben in de Maas beland,' en begon onmiddellijk te trappelen in het water.;'Verdold,' zee ze tegen heurzulf, 'k bin in de Maas beland,' en begon op slag te wotter trappen.
Leonarda dacht diep na, want met trappelen kwam ze niet verder.;Leonarda docht stief noa, want mit wottertrappen kwam ze niks verder.
Met de stroom van het water moest ze meegaan.;Mit stroom van t wotter mos ze mitgoan.
Zwemmen met de stroom van het Maaswater.;Zwemmen mit de stroom van t Maaswotter.
En daar ging ze.;En doar ging ze.
Zwemmen en nog eens zwemmen.;Zwemmen en nog ais zwemmen.
Het ging wonderwel goed.;t Ging meroakels goud.
Stevensweert lag al achter haar.;Stevensweerd lag al achter heur.
Roermond kwam al in zicht.;Roermond kwam aal in zicht.
Maar toen, onverwacht, in een hele scherpe bocht ging het mis.;Mor dou, onverwacht, in n haile schaarpe bocht ging t mis.
Ze kreeg een dikke golf water recht in haar snuit.;Ze kreeg n dikke golf wotter liekoet in heur snoet.
Ze proestte en proestte, hapte naar lucht en het werd haar zwart voor de ogen.;Ze proestte en proestte, hapte noar lucht en t wer heur swaart veur ogen.
Ze raakte in paniek en dacht dat ze zonk.;Ze roakte van slag en docht dat ze zonk.
Haar poten waren al aan het wottertrappen en zo kreeg ze de kop weer door.;Heur poten waren al aan t wottertrappen en zo kreeg ze de kop ter weer deur.
Ze zwom weer verder, langs het kleine dorpje;Ze zwom weer verder, laangs t lutje dörpke
Heukelom, waar een koppel vij op de kant van de wal naar haar stond te blaffen.;Heukelom, woar n koppel vij op kaant van waal noar heur ston te bölken.
In Boxmeer en Cuijk was het volk uitgelopen om de koe te zien die in de Maas zwom.;In Boxmeer en Cuijk was t volk oetlopen om dij kou te zain dij in de Maas zwom.
Zoiets hadden ze nog nooit meegemaakt.;Zukswat haren ze nog nooit mitmoakt.
Langzaam aan werd de;Stoareg aan wer de
Maas wat minder wild en;Maas wat minder wild en
Leonarda vroeg zich af hoe ver ze nog zwemmen moest, voordat er iemand was die haar redden zou.;Leonarda vruig zoch òf hou ver ze nog zwemmen mos, veurdat ter ain was dij heur redden zol.
Haar poten werden zwaar en vermoeidheid sloeg toe.;Heur poten werren swoar en muideghaid sloug tou.
Ze dacht aan boer Smeets en aan al haar vriendinnen.;Ze docht aan boer Smeets en aan aal heur vrundinnen.
En aan het lekkere gras, dat ze wel vijf keer herkauwde.;En aan t lekkere gras, dat ze wel vief keer herkaauwde.
En ze dacht aan haar moeder, Leonarda 9.;En ze docht aan heur moeke, Leonarda 9.
Haar moeder, die altijd vertelde dat ze een telg was uit een sterke familie.;Heur moeke, dij altied verteld haar dat ze n telg was oet n staarke femilie.
Zo'n familie die de kop nooit hangen laat.;Zo'n femilie dij de kop nooit hangen loat.
Ze hoorde haar moeder nog zeggen en ze kreeg weer moed.;Ze heurde t heur moeke nog zeggen en ze kreeg weer moud.
Ze verzamelde al haar krachten, om toch nog weer een eindje te zwemmen.;Ze verzoamelde al heur krachten, om toch nog weer n endje te zwemmen.
Het viel haar niet mee, het ging zwaar, slim zwaar.;t Vuil heur nait mit, t ging swoar, slim swoar.
Met moeite kon ze haar kop boven water houden.;Mit muite kon ze kop boven wotter hollen.
Bovendien kon ze de stroom van het;Boetendes kon ze de stroom van t
Maaswater niet meer weerstaan en dreef ze stukje bij beetje naar de kant van de wal.;Maaswotter nait meer weerstoan en dreef ze stukje bie beetje noar kaant van waal.
Mensen uit Escharen zagen de snuit van de koe boven het water uitsteken.;Lu oet Escharen zagen de snoet van n kou boven t wotter oetsteken.
Het beest lag ook nog middenin een bult rommel dat in het water dreef.;t Baist lag ook nog middenmaank n bult rommel dat in t wotter dreef.
'Dat lijkt niet best,' zei het volk en concludeerde dat het beter was om de brandweer erbij te roepen.;'Dat liekt nait best,' zee t volk en onnaaierde dat beter was om brandweer der bie te roupen.
En de brandweer kwam.;En brandweer kwam.
Met touwen en slangen probeerden ze Leonarda op het droge te krijgen.;Mit taauwen en slangen pebaaierden ze Leonarda op t dreuge te kriegen.
Dat was nog wel een hele klus.;Dat was nog wel n hail kerwaai.
Met veel gesjor kregen ze haar op vaste grond.;Mit veul gesjor kregen ze heur op vaste grond.
Leonarda 12 heeft haar avontuur goed overleefd.;Leonarda 12 het heur oaventuur goud overleefd.
Blij en monter loopt ze weer in de weide van Smeets.;Blied en monter lopt ze weer in de waaide van Smeets.
Zwijgen van de dingen;Zwiegen van de dingen
Als je aan je leven begint,;Astoe aan dien leven begunst,
Mijn jongen, dan zul je de goeden krijgen;Mien jong, dan zalstoe ien de goaten kriegen
Dat wat er om je heen toehoort;Dat wat der om die hin touholdt
Die zwijgend aankijkt.;Die zwiegend aankikt.
Als je wat aan je leven gewend bent,;Astoe wat aan dien leven wend bist,
Kind, dan zul je merken dat alle taal;Kind, dan zalstoe maarken dat ale toal
Van die uitgang moet,;Van die uutgoan mout,
Dat de dingen om je heen;Dat de dingen um die hin
Zwijgend naar je kijken.;Zwiegend noar die kieken.
Hooguit de Duitse herder kijkt je begrepend aan, de rest zwijgt.;Hooguut de Duutse herder Kikt die begriepend aan, De rest zwiegt.
Adem;Oadem
Adem het licht,;Oadem t löcht,
Adem de lucht;Oadem de lucht
Adem de wolken;Oadem de wolken
Achter elke zucht;Achter elke zucht
adem de zonnestralen;Oadem de zunnestroalen
die alle duisternis;Dij ale duuster
tot een uithouken;Tot ien de uuthouken
van die hartvoetjagen gaan.;Van dien haart votjoagen goan.
Kreuzema-papers 25;Kreuzema-papers 25
Beste lezers,;Beste leeslu,
Noorderling en;Noorderling en
Kreuzevolger, dan geef ik je even een vertrouwelijk verslagje.;Kreuzevolger dou k joe eefkes n vertraauwelk verslagje.
Eigenlijk de Kreuzemapapers.;Aigenlieks de Kreuzemapapers.
Ik heb me hier in de Randstad vrijwillig opgegeven voor naschoolse opvang in het noodlokaal.;k Haar mie hier in Raandstad vrijwilleg opgever veur noaschoulse opvang in t noodlekoal.
Had ik niet doen moeten in deze contraten.;Haar k nait doun mouten in dizze kontrainen.
Niets waard, ik ben er nu al zat van.;Niks weerd, ik bin der nou al zat van.
Flauw van beterweters.;Flaauw van beterwaiters.
Moe van dat gezemel over ‘inclusie’, ‘etnisch profileren’ en ‘trans’wonderen.;Mui van dat gezemel over ‘inclusie’, ‘etnisch profileren’ en ‘trans’meroakels.
Routvegers gaan alweer lijken op pepernotentaxi's.;Routvegers goan alweer liek op mit peperneutaksies.
Ik schreef dit stukje gauw even...;Ik schrief dit stukje gaauw eef...
‘Hé Wobbie, dat kan niet jongen, dat mag je niet’...;‘Hé Wobbie, dat kin nait jonkje, dat mag ja nait’...
even onder mijn werk door.;eefkes onder mien waark deur.
Hier praat ik aan tafel met een stel droge bekstukken over begrip van formeren.;Hier proat ik aan toavel mit n stel drokke bekstukken over begrip van formeren.
Zij weten alles, ook over Groningen.;Zai waiten ales, ook over Grunnen.
Maar ik kom er vandaan.;Mor ik kom der vot.
En ik moet ze vergezicht wijzen over ruimte, kalmte, mooi zeggen en ...;En ik mout ze vergezicht wiezen over roemte, kaalmte, moi zeggen en ...
hooglandster gronddreunen.;Hogelaandster gronddreunen.
‘Van het gas af, jij fossiel’, roepen ze net vol energie.;‘Van het gas af, jij fossiel’, ruipen ze net vol energie.
Ze willen met mij de kachel aanmaken.;Ze willen mit mie de kaggel aanmoaken.
Mijn vader en moeder keken vroeger bij een kaarsje.;Mien pabbe en mamme koekeloerden vrouger bie n keerske.
Jongeren snappen dat niet.;Jongelu snappen dat nait.
En met zulke dingen moet Nederland de toekomst in.;En mit zuksen mout Nederlaand toukomst in.
Onderling zijn ze het niet eens, nergens over.;Onderling binnen zai t nait ains, naargens over.
Een kleuterklas is het, ik moet ze verdikke overal ...;n Kleuterklas is t, ik mout ze verdikke overaal ...
’Afblijven Sigridske, niet al klieren met Gert-Janneman’.;’Òfblieven Sigridske, nait aal klieren mit Gert-Janneman’.
Ze moeten hier ook overal aan zitten.;Ze mouten hier ook overal aanzitten.
Losgeestigheid noemen ze dat.;Lozeghaid nuimen ze dat.
Ze zijn nu aan het monstertje spelen, onderzoeken alles ...;Ze binnen nou aan t menistertje speulen, onderzuiken ales ...
‘Niet doen Markje, niet in mijn buurt kruipen.;‘Nait doun Markje, nait in mien buutse kroepen.
