nld_Latn;gos_Latn
De manier waarop hij dat doet, is niet heel moeilijk, maar met een bij hem pazzend gevoel voor humor.;De menaaier woarop hai dat dut, is nait hail zwoar, moar mit n bie hom pazzend gevuil veur humor.
Denk daarbij maar eens aan de rimpel in het koffiebakje van een vrouw;Denk doarbie mor ains aan de rimpeling in t kovviekopke van vraauw
Smit, die 's avonds voor het slapengaan nog een klokje maakt, doordat ze verder geen oog dicht doet.;Smit, dij soavends veur t sloapengoan nog n klokje nemt, deurdat ze aans gain oog dicht dut.
De belangrijkste liedjes van Niehof zijn vloekelijke luisterlijstjes.;De mainste laidjes van Niehof binnen gevuilege luusterlaidjes.
Dan zie je de ogen bij het publiek dichtgaan: even de boudel aan de binnenkant bekijk.;Doarbie zain je d'ogen bie t pebliek dichtgoan: even de boudel aan de binnenkaant bekieken.
Dat moet ook voor deze Groninger boomgaard een inademing zijn.;Dat mout ook veur dizze Grunneger troebadoer n veroademing wezen.
Hoe vaak zie je geen optredens waar het publiek de revuel niet kan houden en overal aardig ondertussen praat.;Hou voak zain je gain optredens woar t pebliek zok de revel nait holden kin en overaal dwaars tussendeur kwedelt.
Dat komt bij de Noabershuisrepubliek niet voor.;Dat komt bie t Noabershoespubliek nait veur.
Het geeft hem de kans liefhebbend te zingen over de mensen die hem dicht bij het hart liggen: pabbe, schoonmoeder en vooral het kleine meisje.;t Geft hom de kaans laifdevol te zingen over mìnsen dij hom dicht bie t haart liggen: pabbe, schoonmoeke en veuraal t lutje wicht.
Niehof vertelt vol overgave over de herinneringen uit het verleden.;Niehof verhoalt vol overgoave over de herinnerns oet t verleden.
Vanzelf komen de kroeg van opa en zijn geboortedorp Middelsom voorbij.;Vanzulf kommen de kroug van opa en zien geboortedörp Middelsom veurbie.
Daarnaast heeft hij het over de plaatsen waar hij woonde, reloaties, het geloof, de belevenissen in;Doarnoast het hai t over de ploatsen woar hij woond het, reloatsies, t geleuf, de belevenizzen in
Stad, stuige;Stad, stugge
Grunnegers en het schone;Grunnegers en t schiere
Groneger landschap.;Grunneger landschop.
Hij doet dat in de taal van het;Hai dut dat in de toal van t
Hoogland, maar dat verschilt niet erg veel van de taal van de meeste mensen in het openbaar, het;Hogelaand, mor dat verschilt nait hail veul van de toal van de mainste lu in t pebliek, t
Westerwolds.;Westerwolds.
Ook vertelt hij over het ontstaan van de liedjes.;Ook vertelt hai over t ontstoan van de laidjes.
Dat maakt ook de bestuurders die hem niet zo vaak nieuwsgierig horen.;Dat moakt ook de touheurders dij hom nait zo voak heuren nijsgiereg.
De manier waarop Niehof zijn liedjes aan elkaar spreekt, spreekt aan.;De menaaier woarop Niehof zien laidjes aan mekoar proat, sprekt aan.
Na twintig minuten waren er nog maar drie liedjes voorbij gekomen.;Noa twinteg minuten waren der nog moar drij laidjes veurbie kommen.
Dat krijg je ervan als je een proatgrieg hebt;Dat krieg je der van as je n proatgroage
Groneger op een barkracht voor een zeer goed luisterend publiek zetten.;Grunneger op n barkruk veur n zeer goud luusternd publiek zetten.
De mensen in de zaal moesten er niet omheen en Niehof ook niet.;Lu in de zoal moalden der nait om en Niehof ook nait.
Toch ging het tempo toen iets op om ook de rest van de liedjeslijst af te kunnen werken.;Toch ging t tempo toun wat omhoog om ook de rest van de laidjesliest òf te kinnen waarken.
Wat vooral opvalt, is het eindeloos beheersen van zijn instrumentale steun.;Wat veuraal opvaalt, is t muiteloos beheersen van zien instrumentoale ondersteunen.
Daar de liedjes wat meer kracht nodig hebben, laat hij ook zijn gitaar een woordje mij spreken, waarbij te merken is dat het bij sommige liedjes bij hem is.;Doar woar de laidjes wat meer kracht neudeg hebben, let hai ook zien gitaar n woordje mitspreken, woarbie te maarken is dat t hom bie sommege laidjes mainens is.
Waar je bij anderen nog wel eens afvraagt wat of er gezongen wordt, help je daarbij;Woar je joe bie aandern nog wel ains òfvroagen wat of der zongen wordt, huif je doar bie
Niet te twijfelen.;Niehof nait over te twieveln.
Zijn artiestatie geeft niets te winnen over.;Zien artikuloatsie let niks te wìnsen over.
Dat geldt ook voor zijn improvisatie.;Dat geldt ook veur zien improvisoatsie.
Zijn rode lijn is gewoon mooie liedjes te spelen en onderweg wel te zien wat er aan de praaterij met zijn publiek voorbij komt.;Zien rode lien is gewoon schiere laidjes speulen en onderwegens wel zain wat der aan proatjederij mit zien pebliek veurbie komt.
Zo schudt hij heel wat verhalen makkelijk uit zijn mond.;Zo schudt hai hail wat verhoaltjes makkelk oet zien maauw.
En daar weet hij het publiek gemakkelijk mee te vermaken.;En doar wait hai t pebliek smoakelk mit te vermoaken.
Ook met de teksten van;Ook mit de teksten van
Niejehof zit het wel goed: geen spreuken met onmogelijke riemuurders, gewoon klinkklare taal schrijven.;Niehof zit t wel goud: gain gepriegelderij mit onmeugeliekse riemwoorden, gewoon klinkkloare toal schrieven.
En als we Niehof mogen geloven, overkomt hem ook wel eens een schrijversblokkade.;En as we Niehof geleuven maggen, overkomt hom ook wel ains n schrieversblokkoade.
Buitendien verdienen zijn tekstregels door mooi ritmisch op de melodie te dansen.;Boetendes deugen zien tekstregels deur schier ritmisch op de melodie te daansen.
Dat Harry Niehof nog wel een keer meer in het Burenhuis zal komen, mogen we hopen.;Dat Harry Niehof nog wel voaker n moal in t Noabershoes kommen zel, maggen wie hopen.
Hij gaf alle mogelijkheden om nooit verschillen in opdracht te maken, maar misschien is het een idee voor een andere keer eens te komen met een verschil waar wat meer openbare deelname een rol speelt.;Hai gaf aal aan sikkom noeit verskes in opdracht te moaken, moar meschain is t n idee om veur n aander moal ains mit n verske te kommen woar wat meer pebliekspartisipoatsie n rol speult.
Als we andere bladeren verkopen, die geregeld in t;As we aandere troebadoers, dij geregeld in t
De bewoners optreden, geloof me, zijn de mensen in;Noabershoes optreden, geleuven maggen, binnen de lu in
Veel plezier niet vuil van een beetje medezinnigheid.;Veelerveen nait vies van n beetje mitzinkjederij.
Dat lijkt me een mooie uitlegging.;Dat liekt mie n schiere oetdoagen.
Bert Hensema;Bert Hensema
Waterval;Wotterval
De waterstroom boord;De wotterstroom boant zuk
In de garage een weg omgeslagen -;Ien roazernij n weg omdele -
Het waterwasser dat hen omringt;De wotterwoas dij heur omgeft
Laat alleen af en toe haar tekens zien,;Let allain òf en tou heur littaikens zain,
Hier en daar herken ik;Hier en doar herken ik
De schaduw van een man, een;De schim van n kirrel, n
De visser die zichzelf;Viskerman dij zukzulf
Terwijl hij op zalm visserde;Terwiel dat e op zaalm viskerde
Aan het water verloren.;Aan t wotter verloor.
Bert Weggemans Winschoot, waar ik thuis kwam toen de vakantie begon en de schooldeur in Stad ging.;Bert Weggemans Winschoot, woar ik thoes kwam as vekansie begon en schooldeur in Stad tou ging.
Lieve opa, dat papegaai heb ik nooit van je gekregen, maar wel duizend woorden en nog veel meer van de duizend mooie woorden.;Laive opa, dat ponypeerdje heb k noeit van die kregen, mor wel doezend kuskes en veul meer den doezend laive woorden.
Winschoot, ik heb daar nu geen thuis meer.;Winschoot, ik heb doar nou gain thoes meer.
Morgens ergens, hoog in de hemel, is daar de gedachte wel een;Mor aargens, hoog in hemel, doar is denk wel n
Naast Nassau, waar ik zo achterom kan gaan en de liefste stem zegt: 'Hé, daar ben je, mijn vrouw!?' (Voor mijn opa,;Nassaustroate, woar ik zo achterom goan kin en de laifste stem zegt: 'Hee, doar bistoe, mien wicht!?' (Veur mien opa,
Klein);Klein)
Hoffenkamp;Hoffenkamp
Vraag het;Kwoaie t
Wit van ogen zit voor je kont als ik smaak of treur met mijn eten ik achteraf schot in ons hemelse nest - hoe ik was en nooit meer word, zal je nooit vergeten.;Wit van ogen zit die veur kont as ik smak of greem mit mien eten ik achteròf schiet in ons hemmelde nust - hou ik was en nooit meer wor, zelst nait vergeten.
Ben je een goede vrouw, maar geef me mijn horloge en de mijne;Bist n goie vraauw, mor gun mie mien klokje en mien
"Nelle; een beetje meer";"Nelle; n beetje meer"
Amy;Amy
Winehouse, schatje, en nog iets minder;Winehouse, laiverd, en net wat minder
Dronken.;Libelle.
Pim De Noes;Pim De Noues
Jong en wolf (naar een sprookje van;Jong en wolf (noar n foabel van
De jongen van de boer moest op bokken en schapen in het veld passen.;Jong van boer mos op bokken en schoapen ien t veld pazen.
Was nodig, want er was een wolf in de buurt, hoorde haar boer.;Was neudeg, omreden der was n wolf ien de buurt, haar boer heurd.
Als de wolf op schaapen en bokken af kwam, moest het jong heel hard wolf belken en dan zou de boer met andere zonen erop afkomen om de wolf te jagen.;As wolf op schoapen en bokken òf kwam, mos jong hail haard ‘wolf’ belken en din zol boer mit aander zeuns der op òfkommen om wolf vot te joagen.
De jongen was een beetje bang zo alleen in het veld met baarden en eventueel een wolf en drie keer raapte hij de 'wolf' zonder dat het nodig was.;Jonkje was n beetje baang zo allain ien t veld mit baisten en meugelk n wolf en drij moal raip hai 'wolf' zunder dat t neudeg was.
Wolf was niet bereid om te bekennen.;Wolf was naarnswoar te bekinnen.
Na een poosje raap jong voor de vierde keer wolf, maar de boer dacht: het;Noa n zetje raip jong veur vaaierde moal ‘wolf’, mor boer docht: t
Zal wel, hij roept maar weer wat.;Zel wel, hai roupt mor weer wat.
Toen het 's avonds werd kwam de jongen niet thuis en de boer ging er naar buiten in het veld die jongen met bokken en schapen moest touholen.;Dou t oavend wer kwam jong nait thoes en boer ging der op oet noar t veld doar jong mit bokken en schoapen touhollen mos.
De enige die de boer daar zag was een wolf met een dikke pijn.;Ainege dat boer doar zaag was n wolf mit n dikke pìns.
Het liefje van stro van de jongen stak de wolf nog te hard uit.;Houdje van stro van jong stak wolf nog te bek oet.
Jullie hoeven nooit voor niets om hulp te roepen.;Ie mouten nooit veur niks om hulp roupen.
Waakhond (naar een fabeltje van;Woakhond (noar n foabel van
De inbreker was onderweg en kwam bij een dik huis dat wat te halen was.;Ienbreker was op pad en kwam bie n dik hoes doar wel wat te hoalen was.
Schane genoeg voor hem was er een kwade weekond en dat wist hij.;Schane genog veur hom was doar n kwoaie woak- hond en dat wis hai.
De dief had daarom een dikke brood bij hem en wilde hem de hond geven zodat hij hem met rust zou laten.;Daif haar doarom n dikke stoet bie hom en dij wol e hond geven zodat dij hom mit rust loaten zol.
Maar de hond zei tegen de dief: t;Mor hond zee tegen daif: ’t
Is mijn taak om te bleven als er een dief komt en dat doe ik ook alsbaaiers hier in huis te komen.;Is mien toak om te blavven as der n daif komt en dat dou k ook astoe pebaaiers hier ien hoes te kommen.
Maak maar dat je thuis komt en dit zal ik je allemaal vertellen:;Moak mor dastoe votkoms en dit zel k die aal vertèl- len:
Als er met spullen van mijn baas van de deur ging, dan zou dat mijn schuld zijn en kijk dat is nu precies wat ik niet wil.;Astoe der mit spullen van mien boas vandeur gings din zol dat mien schuld wezen en kiek dat is nou krekt wat k nait wil.’
Laat u dus niet overhalen met cadeautjes om uw plicht te vervullen.;Loat joe dus nait overhoalen mit kedoos om joen plicht te verzoaken.
Denk eerlijk aan uw plicht en aan de gevolgen van uw daden.;Denk aaid aan joen plicht en aan gevolgen van joen doaden.
Moulen een klokje hier een beetje daar de lucht nog helder in het komende voorjaar;Molen n klokje hier n smokje doar lucht nog blier aankomend veujoar
9 het Huis is ontbonden.;9 t Hoes is ontwricht.
Ik ben klaar voor het sticht.;k Bin riep veur t gesticht.
Voor mijn lievelingsvrouw sloeg ik de deur dicht.;Veur mien laifste wicht sloa k deure dicht.
Ik wou dat er een einde kwam aan schelden van NAM en patiënten in Den Haag.;k Wol dat der n inde kwam aan sjikaneren van NAM en pazzipanten in Den Hoag.
Heb ik een steen op mijn maag: waar vind ik nog een huis?;Ligt mie n stain op moag: woar vin k nog n hoes?
Ik heb aardbevingsbloes.;k Heb eerdbevensblues.
Ik ben bang ik ben bang ik ben bang en dat al zo lang.;k Bin baang k Bin baang k Bin baang en dat al zo laang.
Voel me nergens meer thuis, ik heb aardbevingsbloes.;Vuil mie naargens meer thoes, k heb eerdbevensblues.
Zo als het hoort;Zo as t heurt
Naar 248 geboden moet je streven, voor nu, en in de rest van jullie leven.;Noar 248 geboden mout je streven, veur nou, en in rest van joen leven.
248 ledematen en botten kent het lichaam, die houden je lichaam sterk, stevig en stevig.;248 ledemoaten en bonken kent t lief, dij holden joen liggoam staark, steveg en stief.
Tijdens al deze geboden blijf je staan, zonder dat het zo eenvoudig niet zal gaan.;Under aal dizze geboden blief je stoan, der zunder zel zo makkelk nait goan.
Ze geven jullie leven inhoud, doel en kleur, voorkomen rampen en een bult gezeur.;Ze geven joen leven inhold, doul en kleur, veurkomen trammelaant en n bult gezeur.
365 dagen telt een jaar net zo veel als er verboden zijn.;365 doagen telt n joar net zoveul as der verboden binnen.
365 dingen die je niet mag doen, houd je eraan, hoewel het uit persoon was.;365 dingen dij je nait maggen doun, hol joe der aan, al was t oet fersoun.
Zo 613 ge- en verboden telt uw leven op aarde, dit grote aantal de mensheid vergroot.;Zo 613 ge- en verboden telt joen leven op eerde, dit grode aantal het menskhaid vergoard.
Als jullie van jullie naaste houden zoals van jezelf een keer, dan leef je tot eer van de ander en van jezelf;As joe van joen noaste holden as van joezulf n keer, din leef je tot eer van d'aander en van joen
Meneer!;Heer!
Aardebevingenbloues (voor;Eerdbevensblues (veur
Aneke en;Anneke en
Ja) ik;Jaap) k
Ben benieuwd;Bin baang k
Ben bang en dat al zo lang.;Bin baang en dat al zo laang.
Voel me nergens meer thuis.;Vuil mie naargens meer thoes.
Bloeddruk te hoog, pillen voor vermoeidheid, trillen in het oog, krijg hem niet meer op, stok in de keel, ik wil niet meer naar huis, ik heb aardbevingsbloes.;Blouddrok te hoog, pillen veur moag, trillens in t oog, krieg hom nait meer omhoog, stok in kroag, k wil nait meer noar hoes, k heb eerdbevensblues.
Roeterij met kinderen grondig op de vrouw, het gaat een hele maand minder.;Roezie mit kinder gramniedeg op vraauw, t gaait aal moand minder.
Ik snotter, ik ben asgendrouw.;k Snötter, k bin aaskegraauw.
De hele nacht lig ik wakker met de vrouw van de bakker.;Hail nacht lig k wakker mit vraauw van bakker.
Ik wil niet meer naar huis.;k Wil nait meer noar hoes.
Hele dag al uit het lood van scheuren in het huis.;Hail dag al oet t lood van scheuren in t hoes.
Ik wilde net zo lief dood.;k Wol net zo laif dood.
Als er weer een controller voor mijn scheve deur staat, heeft hij weer een beter plan.;Staait weer n kontroleur veur mien schaive deur, het weer n beter plan.
hij wordt nog beter.;wordt hai nog beter van.
Ik ben bang van mijn huis.;k Bin baang van mien hoes.
De gouden schat 10 t Was alweer een tijdje geleden dat Moeke overleden was.;De goldschat 10 t Was alweer n zetje leden dat Moeke overleden was.
Vader was al eerder gegaan.;Pa was al eerder goan.
De drie dochters Gerda, Trijn en Mien hadden de boudel verdeeld en het huis leeggemaakt.;De drij dochters Gerda, Trijn en Mien haren de boudel verdaild en t hoes leegroemd.
Iedereen had met geschikte vrees en in goede harmonie plaats gevonden, zonder ruzie over wie wat kreeg of zoiets.;Ales haar mit gepaste vree en ien goie harmonie ploats vonden, zunder roezie over wel wat kreeg of zukswat.
Was er trouwens ook niets bijzonders aan de waarde waar ze ruzie over konden krijgen.;Was traauwens ook niks gain biezunders aan weerde doar ze roezie over kriegen konden.
Op één ding nog, je moeder sieradenendeuske.;Op ain ding noa, moekes sieroadendeuske.
In die douche zaten een stuk of wat gouden ringen, waaronder nog die van opa en opa van mama's kant.;Ien dat deuske zaten n stuk of wat golden ringen, woaronder nog dij van opa en opoe van moekes kaant.
En verder gouden oorbellen, zilveren hangers en kettingen met mooie kleuren kleuren.;En wieder golden oorbellen, zulvern hangers en kettens mit mooie kleurde staintjes.
De drie dochters naaien dat dit misschien wel eens wat de moeite waard kon zijn, hoewel er vroeger in het arbeidersgezinnen geen geld was om dure sieraden te kopen.;De drij dochters onnaaierden dat dit meschain nog wel ais wat weerd wezen kon, alewel der vrouger ien t aarbaidersgezin gain geld was om dure sieroaden van te kopen.
Maar je kunt nooit weten, misschien een erfstuk?;Mor je kinnen nooit waiten, meschain n aarfstuk?
En daarom wilden ze dat bij gelegenheid wel eens laten taxeren door een juwelier.;En doarom wollen ze dat bie gelegenhaid wel ais taxeren loaten deur n juwelier.
